Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5326,"249,503","98,048","7,461","93,399",922,"14,514","1,604","70,588","14,374","96,276",143,"107,324"
5327,"63,339","64,769",152,"95,061",705,"4,470",,"12,401",749,"23,450","2,449","80,901"
5328,"10,333","1,110","1,103","2,333",,112,"1,290","3,927","1,253",624,,"8,253"
5329,"26,249","1,409",430,"11,412",,,340,"9,565","2,364",918,94,"18,298"
5330,"9,229","1,707","1,690","4,026",,298,162,"3,531",94,"1,063",,"10,213"
5331,"24,682","1,205",,"10,548",,324,311,"5,819",,574,,"7,669"
5332,"12,460",688,733,"10,501",,308,,"3,612",,"1,631",,"13,276"
5333,"104,233","4,053","9,153","19,052",193,"3,741",918,"66,854","2,402","4,594",,"73,236"
5334,"64,061","6,076","2,363","33,651",,"1,536","3,003","21,455","6,580","9,052",447,"41,892"
5335,"63,430","22,855","1,578","48,213",,"8,364",554,"23,432","6,054","15,308",531,"59,004"
5336,"32,020",898,315,"29,810",,480,448,"8,804",136,"1,358",90,"19,982"
5337,"23,828",298,946,"4,143",,"1,349",84,"5,420",100,395,,"23,494"
5338,"37,481","2,279",453,"18,297",,518,,"11,309",925,"2,019",,"38,685"
5339,"26,574","4,734",331,"8,446",,248,487,"9,216","3,330","2,238",63,"15,148"
5340,"33,815",795,236,"21,348",,785,410,"11,562",163,"3,899",,"54,545"
5341,"31,196","12,805",388,"29,857",,921,63,"18,844",38,"5,108",225,"33,007"
5342,"11,114",677,36,"6,619",,432,,"7,175",,"3,057",,"8,180"
5343,"28,642",425,"1,522","12,668",,"1,000",247,"22,118","2,034","1,292",25,"22,447"
5344,"11,587",319,,"6,548",,334,,"3,982",,657,,"8,301"
5346,"2,219",285,,"1,312",,374,,730,166,557,,427
5347,"43,186","2,038",210,"21,191",,"1,274",,"16,143",149,"4,720",,"71,345"
5348,"17,946",848,798,"10,034",,661,27,"6,313",,"1,514",,"12,633"
5349,"5,093",196,,"3,259",,68,,"3,418",135,166,,"5,733"
5350,"6,472",326,,"6,782",,243,,"3,203",,"1,496",,"8,744"
5351,"411,837","62,081","6,179","269,629",,"16,722","2,687","142,715","26,627","164,260","5,787","216,193"
5352,"84,443","3,184","1,631","18,208",,"3,020",527,"43,077",187,"4,262",,"24,317"
5353,"23,397","1,537","1,757","20,023",,"1,190",135,"7,471","4,542","1,632",36,"18,950"
5354,"17,845","2,887",318,"5,304",270,137,,"6,908",162,233,,"13,634"
5355,"1,894",184,,"1,518",,583,,"1,862",,360,,"1,719"
5356,"16,171","1,347",568,"14,594",,229,,"11,020",281,893,,"15,565"
5357,"56,206","1,910","1,240","22,070",285,"3,957",451,"21,988","2,199","7,127",106,"35,016"
5358,"27,442",715,807,"15,261",,465,,"11,022",149,"2,115",,"28,273"
5359,"75,103","2,350","4,105","19,820",183,"3,163",792,"43,190","4,250","2,588",,"68,815"
5360,"33,702","84,092",83,"36,410",,"9,524",162,"9,672","3,670","20,105",225,"66,356"
5361,"32,639","84,885",206,"10,645",,"5,420",143,"6,223","3,790","7,703",,"32,931"
5362,"96,745","3,313","4,114","33,777",134,"2,900","1,393","29,760","9,745","7,937",28,"38,700"
5363,"8,972",592,109,"4,199",,313,,"5,050",522,809,,"9,657"
5364,"37,060","13,306",742,"26,479",,"2,189",115,"16,665","2,523","10,654",63,"38,656"
5365,"19,593","4,350",147,"8,134",,39,,"6,076",213,"1,124",,"6,145"
5366,"93,659","62,256","2,102","64,347",,"3,504",569,"26,583","6,793","11,476",9,"48,204"
5367,"18,996",447,39,"6,782",,261,,"19,693",,"2,374",,"10,948"
5368,"2,092",107,,993,,,,"1,417",,99,,"1,578"
5369,"24,739",,300,"9,664",,,,"5,831",297,"1,089",,"8,499"
5371,"42,523","11,880","1,443","47,527",,"4,799",828,"17,372",90,"5,933",,"71,631"
5373,"53,466","1,592","2,984","28,342",,"2,517",203,"23,830","2,851","6,410",,"23,420"
5374,"71,619","78,169","1,921","27,087",,"4,433",222,"16,552",970,"16,374",,"57,972"
5375,"18,587","2,711",28,"13,760",,364,,"8,518",,"1,272",,"17,459"
5376,"10,952",859,289,"10,118",,63,,"6,677",,"1,187",,"11,906"
5377,"8,187",,,"1,185",,448,,"2,355",,198,,"4,688"
5378,"11,580",382,39,"7,538",,,,"2,305",,50,,"7,394"
5379,"12,588",,,"9,091",,,,"4,945",,234,,"6,318"
5380,"40,983","15,065",420,"33,935",,861,,"10,066",989,"2,938",153,"24,075"
