Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5576,"11,351",516,441,"5,696",,184,,"5,489",131,972,,"5,526"
5577,"19,688","33,937",778,"12,355",,854,162,"6,926","1,684","3,688",,"18,811"
5578,"6,536",602,,"2,976",,5,,"1,741","1,034",592,45,"4,346"
5579,"11,380",,,"1,701",,,,"7,221",112,119,,"4,307"
5580,"4,519",169,63,"4,128",,183,,"2,817",,314,,"4,863"
5581,"12,431",767,,"4,127",,207,,"3,734",,637,,"9,815"
5582,"11,715",172,173,"7,095",,947,214,"2,731",65,"1,323",,"7,296"
5583,"14,008",337,,"7,245",,247,207,"5,540",97,967,,"6,245"
5584,"19,708",243,708,"5,463",283,137,81,"3,566",,832,,"10,728"
5585,"10,373",388,201,"6,862",,121,,"5,191",89,588,,"5,782"
5586,"6,890",234,88,"3,568",,,26,"2,823",7,"1,244",,"7,619"
5587,"8,004",787,169,"6,844",,166,121,"2,160",,712,,"6,656"
5588,"6,315",322,,"1,845",,121,,"2,976",,388,,"3,993"
5589,"14,446","69,023","1,000","11,260",,"1,647",,"5,586",281,"16,065",,"32,732"
5590,"10,867",935,618,"11,682",,163,,"5,543",81,"1,963",,"9,798"
5591,"3,442",965,,"1,538",,90,,"1,281",,691,,"3,184"
5592,"30,825","5,952",217,"24,008",,"1,236",935,"15,824",62,"1,059",,"15,662"
5593,"30,423","6,124","1,742","36,206",,946,357,"10,459",977,"12,042",630,"29,519"
5594,"20,890",167,701,"6,474",,448,210,"3,815",140,712,,"7,485"
5595,329,72,,259,,239,,635,,216,,634
5596,"99,358","7,097",851,"56,471",185,"2,468",849,"34,098",954,"14,648",,"42,803"
5597,"18,206","61,082",858,"16,306",,"1,627",185,"5,519","2,236","9,918",385,"37,545"
5598,"13,571","81,997",567,"17,454",,"2,161",41,"3,378","2,094","9,307",180,"27,375"
5599,"25,954","140,851",593,"12,180",,"14,515",126,"6,302",922,"59,266",,"31,690"
5600,"54,467","221,133",589,"26,397",,"15,161",324,"14,724","6,930","35,380",,"207,707"
5601,"10,638","1,310",,"7,208",,"1,309",,"4,955",177,718,,"7,269"
5602,"9,639","2,625",,"3,954",,121,,"3,776",,"1,866",,"7,605"
5603,"3,779",312,,"1,994",,121,,"1,613",,471,,"1,885"
5604,"6,265",518,,"4,186",,153,,"3,761",,703,,"6,824"
5605,"16,935","1,283",,"3,772",,180,,"6,477",,920,,"11,946"
5606,"28,533","90,785",,"34,876",,"2,729","1,340","7,123","1,452","15,428",360,"38,204"
5607,"8,428",470,,"4,905",,208,,"4,254",140,"1,177",,"6,494"
5608,"11,746",398,,"4,555",,423,,"6,788",,438,,"6,752"
5609,"20,474",668,,"10,001",,252,,"10,432",,"1,472",,"14,403"
5610,"5,579",468,,"3,206",,238,81,"3,149",65,829,,"4,191"
5611,"6,917",670,,"3,377",,436,,"2,764",88,"1,122",,"7,247"
5612,"8,046",47,217,"3,375",,117,,"2,340",,916,,"4,681"
5613,"15,244","2,644",,"5,466",,344,,"8,390",,"1,098",,"8,646"
5614,"161,499","10,909","2,855","25,204","3,600","8,680","1,412","15,623","4,678","14,262",387,"77,545"
5615,"6,826",187,,"6,890",,210,,"3,100",,"1,304",,"7,781"
5616,"4,976",74,79,"2,062",,121,,"2,312",,289,,"4,500"
5617,"21,598",389,,"6,517",,238,,"5,381",,"1,046",,"8,934"
5618,"10,784",621,,"7,552",,121,,"4,788",,454,,"9,351"
5619,"8,150",121,28,"3,319",,165,,"2,679",,"1,250",,"8,688"
5620,"17,686",225,39,"5,483",,174,,"6,691",,"1,720",,"11,963"
5621,"12,281","18,185",,"20,962",,954,,"7,829",,"2,509",,"19,664"
5622,"7,261",346,42,"3,832",,121,,"2,654",162,"1,527",,"4,366"
5623,"26,071","27,284",206,"16,038",273,"1,774",121,"5,859","1,109","13,655",90,"46,750"
5624,"6,762",596,28,"3,775",,238,,"2,708",15,487,,"7,528"
5625,"22,398","9,712",182,"14,688",,472,,"3,345",,"4,009",,"16,126"
5626,"16,701",504,,"3,742",246,,,"4,897",70,308,,"7,349"
5627,"4,688",944,,"1,268",,593,,"1,015",,512,,"2,423"
5628,"9,492","5,869",128,"9,950",,796,,"2,561","1,004","2,036",135,"7,095"
5629,"1,301",162,,746,,,,545,,199,,135
5630,"6,754",524,523,"2,395",,121,,"2,548",,811,,"5,112"
5631,"6,029","1,055",27,"3,724",,893,,"2,762",,147,135,"4,260"
5632,"18,695","1,197",700,"6,837",428,249,,"6,899","1,037","2,343",,"12,382"
5633,"119,139","10,919","3,534","66,111",344,"8,824","2,536","36,154","6,294","14,420",333,"61,991"
5634,"10,036","14,771",299,"3,543",,659,41,"2,799","2,525","1,713",51,"8,868"
5635,"44,575","2,370","1,056","13,421",119,557,393,"7,812","1,718","2,456",,"16,175"
5636,"29,205","73,420",847,"19,836",,"2,359",207,"10,958","2,885","9,950",63,"42,289"
5637,"15,761",788,"2,395","3,092",,807,,"3,163",,"1,611",,"4,710"
5639,"4,341",347,,"1,658",,90,,"1,205",,814,,"2,685"
5640,"7,701",206,,"3,452",,90,105,"2,108",,413,,"4,234"
5641,"3,660",165,79,848,,90,72,"1,023",,314,,"1,655"
5642,"15,807",518,,"6,027",,936,490,"5,453","3,053","2,342",,"8,630"
5643,"26,529","1,556",994,"16,907",,"1,027",54,"10,957",47,"1,511",,"19,475"
5644,"10,645","29,207",,"6,188",,"1,144",,"3,485",,"7,612",,"15,912"
5645,"94,775","11,389","1,054","43,450",,"3,955","4,319","21,419","3,185","16,960",229,"53,017"
5646,"30,184","29,551","4,307","23,500",,300,262,"17,898","2,060","4,275",,"41,137"
5647,"14,081","6,821",,"3,424",,414,,"2,154",,"5,555",,"5,789"
5648,"56,309",954,985,"7,395",152,"2,220",205,"9,620","6,280","3,066",319,"23,565"
5649,"12,042",116,380,"4,818",62,302,68,"2,929",847,"1,531",,"10,624"
5650,"7,209",,315,"2,590",,243,,"1,345",152,644,,"2,669"
5651,"63,069","17,201","1,243","20,162","1,562","4,969","1,823","14,324","13,631","11,977",409,"45,240"
5652,"12,376","16,104",166,"11,431",,654,701,"2,813","4,115","1,975",450,"18,114"
5653,"9,355","1,829","1,139","5,082",,377,99,"2,531","3,864","1,883",52,"6,225"
5654,"34,676","3,576","2,410","12,771",,"2,178",,"11,264","2,259","23,560",,"16,638"
5655,"19,335","1,595",534,"7,612",45,862,133,"5,822","1,725","1,336",,"10,827"
5656,"32,140",863,801,"26,269",39,"1,213","1,975","7,799","2,153","3,789",270,"34,027"
5657,"4,150","6,124",,"1,298",,807,,654,418,"1,160",189,"9,864"
5658,"6,302",678,,"4,641",,315,,"3,393",,748,,"4,906"
5659,"1,727",47,,942,,90,,"1,038",,413,,"1,230"
5660,"33,254","132,182","2,449","25,779",,"2,476",795,"12,068","4,175","28,146",135,"46,318"
5661,"43,201","107,919",334,"21,227",,"1,583",122,"12,201","7,262","15,408",81,"56,546"
5662,"20,320","57,681","1,573","18,522",,"2,103",648,"6,367","2,244","9,543",333,"24,578"
5663,"57,107","4,721",592,"18,484",120,"1,129",733,"28,127","1,996","4,218",,"20,338"
5664,"7,305",76,116,"6,237",,121,,"3,068",,649,,"4,412"
5665,"16,566","7,044",192,"8,606",,"1,747",54,"7,876",750,"3,928",63,"12,616"
5666,"497,704","31,802","31,590","85,314",64,"39,028",,"57,764","74,015","66,617","8,702","287,430"
5667,"4,352",747,,751,,,,"3,011",,198,,"4,580"
5668,"11,162","1,486",686,"13,313",,189,,"2,128",,"3,255",540,"8,985"
5669,"9,282","44,995",384,"5,500",,"1,823",86,"2,483","5,024","12,319",,"15,693"
5670,"27,996","2,185",326,"7,442",,478,68,"6,083",438,832,135,"10,924"
5671,"34,842","2,947","2,351","11,175",,"2,881",320,"10,426",,"2,496",,"23,021"
5672,"6,256","7,817",,"3,023",,144,,888,89,297,,"2,059"
5673,"3,783",48,104,"1,064",,97,72,850,,401,,"1,751"
5675,"1,804",36,31,"1,532",,162,,466,,288,,683
5676,"15,023","44,877",,"14,010",,589,27,"11,387","2,557","7,579",27,"26,288"
5678,"36,787","118,831","4,339","19,771",,"8,372",934,"6,748","13,900","29,007",351,"54,779"
5679,"6,538",381,,"1,609",,"1,169",88,"2,076",,"1,600",,"6,558"
5680,207,190,18,89,,59,,7,,39,,390
5681,"10,762","1,055",462,"7,603",,39,163,"5,666","1,727","4,101",,"6,118"
5682,"28,881","24,875",671,"28,621",,953,180,"13,420","5,547","6,805",495,"38,450"
5683,"5,901",29,220,"3,537",,130,,"1,581",,385,,"4,449"
5684,"25,111","9,554",515,"14,948",,498,322,"6,799","1,222","3,656",9,"20,244"
5685,"34,769",624,"3,146","6,370",105,"2,000",203,"29,304","1,347","2,061",,"27,328"
5686,"4,872",601,28,"3,345",,136,,"6,324",,565,,"8,947"
5687,"4,539",265,79,"2,847",,58,,"2,973",,649,,"4,564"
5688,"4,070",109,291,"2,209",,97,,"1,586",260,349,,"2,595"
5689,"2,233",,83,"1,253",,78,,925,,612,,"2,736"
5690,"3,604",418,131,"1,401",,,,523,,566,,"2,033"
5691,"9,267","64,034",314,"3,165",,"10,547",58,"1,224","1,398","8,763",,"9,670"
5692,"28,586","5,654","1,414","12,202",,433,559,"5,084","3,341","5,080",279,"13,855"
5693,"18,479","1,154","2,101","7,458",,211,,"7,700","1,074",238,,"5,045"
5694,"4,500",121,,"1,575",,58,,"1,482",168,399,,"2,271"
5695,"4,379",216,255,"1,314",,23,,"2,104",32,346,,"3,221"
5696,"2,602",48,,858,,90,72,997,,314,,"1,619"
5697,"5,636",290,,"3,233",,121,,"2,285",,848,,"2,388"
5698,"5,147",311,,"3,823",,120,,"2,456",,573,,"5,253"
5699,"5,760","1,354",26,"2,670",,107,,"2,922",,270,,"4,938"
5700,"6,206","1,460",,"2,915",,119,,"4,070",,241,,"5,268"
5701,"5,943",316,267,"2,934",,303,27,"2,116",988,806,,"2,064"
5702,"13,122","1,517",120,"9,134",,453,17,"2,739","1,008",929,130,"8,458"
5703,"14,045","90,128",171,"10,619",,"5,576",,"3,528",927,"13,380",90,"22,425"
5704,"6,940","6,004",280,"6,191",,333,91,849,731,"1,753",130,"10,799"
5705,"22,430","52,968",595,"11,188",281,"2,078",360,"7,074","7,316","16,992",126,"29,689"
5706,"26,057","18,269",308,"15,196",,809,162,"9,118","1,100","1,954",,"24,192"
5707,"7,549","1,500",26,"2,544",,"2,085",,574,"1,123",767,,"5,568"
5708,"30,186","1,197","3,725","8,123",,"1,219",486,"5,849",,972,,"18,415"
5709,"23,997","5,821",863,"7,948",,"2,128",91,"9,951","1,040","4,533",171,"16,781"
5710,"2,713",145,,"1,228",,121,72,"1,522",,618,,"1,415"
5711,"5,670",178,79,"2,189",,211,72,"2,881",385,"1,031",,"3,877"
5712,"3,717",97,,"2,824",,180,144,"1,605",,659,,"1,610"
5713,"17,271",964,"1,550","6,931",,890,,"9,577","1,206","2,016",,"8,666"
5714,"1,930",232,,919,,59,,"1,051",,604,,"1,988"
5716,"1,064",201,125,"1,594",,10,,"1,874",,268,,"4,986"
5717,"2,081",78,,"1,267",,190,72,"1,314",,289,,"1,801"
5718,"1,999",78,,817,,121,72,"1,314",,224,,"1,066"
5719,"3,586","1,020",,"1,032",,578,58,"1,558",,"1,319",,"3,651"
5720,"3,523",48,79,"1,673",,121,72,"1,964",,388,,"2,926"
5721,"8,068",597,429,"11,664",,576,,"3,611",,969,,"5,199"
5722,873,166,,811,,62,,213,49,231,,"1,075"
5723,"2,944",,79,"1,421",,259,,"1,533",,604,,"1,404"
5724,"3,896",65,,"1,475",,121,,"1,186",385,717,,"2,602"
5725,673,,62,612,,99,,264,149,59,,"1,120"
5726,"5,102",125,748,"4,620",,183,106,"2,203",588,553,9,"1,927"
5727,"2,505","1,240",,207,,129,,,149,,,"1,927"
5728,"83,268","5,255",925,"18,491",,"1,674",664,"18,582","4,086","13,156",,"26,790"
5729,897,,159,"1,119",,124,121,850,152,100,,578
5730,"1,408","6,441",410,970,,503,,176,225,"1,365",,"4,774"
5731,"11,325","5,357",56,"9,464",,767,,"3,485",99,"6,199",,"8,798"
5732,"10,528","5,749",315,"4,282",,655,26,"5,291",592,"2,259",,"12,230"
5734,"16,968",297,"1,763","2,840",,920,135,"5,983",274,826,,"11,177"
5735,"4,575","1,727",,"3,961",,,,603,13,312,90,"2,745"
5736,"17,579",635,79,"10,069",,829,120,"4,013",387,"1,024",,"7,810"
5737,"1,435",,,730,,,,,,,,750
5738,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5739,"1,576",48,,558,,90,72,766,,314,,"1,449"
5740,"13,491","2,832",973,"6,938",,769,228,"4,863","2,787","2,615",27,"13,754"
5741,"5,732","3,737",126,"4,022",,146,104,"2,847",,"2,198",,"4,818"
5742,"1,599",128,56,"1,011",,,,168,74,120,,523
5743,"3,896",65,,"1,475",,121,,"1,186",385,717,,"2,305"
5747,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5756,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5757,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5763,"3,896",65,,"1,475",,121,,"1,186",385,717,,"2,305"
5767,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5768,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5769,"3,351",97,79,"1,495",,121,,973,385,586,,"1,934"
5782,"3,862",155,79,"3,106",,121,,"1,837",149,478,,"2,997"
5800,"6,416","1,027",128,"2,615",,263,27,"1,142",162,"1,168",,"2,569"
5801,"3,896",65,,"1,475",,121,,"1,186",385,717,,"2,602"
5814,"1,267",24,,213,,15,,550,50,,,604
5815,"2,002","2,209",,608,,59,,238,,612,,"2,248"
9001,"290,204","22,255",,"17,529",,"5,535",,"24,408",,,"16,666","12,467"
9002,"141,763",,"16,434","63,589",,"14,828","2,714",,,,"36,457","19,803"
9010,"2,148",152,,"4,992",,,,,,,,
9013,"60,147",,,,,,"22,105","11,319",,,,"23,646"
9023,"7,267",,,,,,,,,,,
9031,"34,155",,,,,,,,,,,"31,059"
9034,"3,119",,,,,,"1,799",,,,,
9037,"30,758",,,,,,,,,,,
9038,"222,898",,,,,,,,,,,
9039,,,,,,"2,278",,"2,038",,,,"9,595"
9041,"3,638",,,,,,"33,441",,"8,027",,,
9042,,,,,,,,,,,,"2,029"
9901,"11,508","1,699",,480,,443,,"1,616",,,,664
9902,"2,643",,162,698,,437,,,,,682,275
9906,"23,570",125,"3,670","9,388",34,"2,293",853,"3,059",558,"6,072","1,486","13,243"
9910,105,,,20,,,,,,,,
9911,"35,900",158,269,"5,022",,"2,308","1,280","4,728","1,169","11,395",78,"14,510"
9913,906,,,,,,288,653,,,,340
9919,247,,,45,,,281,,,,,412
9923,"1,217",,,,,,,,,,,
9925,,,,,,,,,,,,604
9931,,,,,,,,,,,,"1,260"
9934,347,,,,,,,,,,,
9936,,,,31,,,,,,,,
9937,158,,,,,,,,,,,
9938,247,,,,,,,,,,,
